"trans_date_trans_time","merchant","category","amt","gender","city","state","city_pop","job","dob","trans_num","is_fraud"
"6/1/2019 10:38","fraud_Friesen-Stamm","gas_transport",48.54,"M","Oakland","TN",9496,"Furniture conservator/restorer","3/23/1993","2380480d92d13713c6dd6ffb3d6ffdc3",0
"11/13/2019 15:54","fraud_Langworth LLC","personal_care",30.8,"F","North Wilkesboro","NC",21134,"Dispensing optician","3/6/1984","9b3339ad541538af44e4e174aec15074",0
"4/28/2019 21:08","fraud_Torphy-Goyette","shopping_pos",7.2,"M","Lake Jackson","TX",28739,"Futures trader","12/27/1999","075b2ae43310fbb21dfe99cd3d27bca6",0
"7/28/2019 20:29","fraud_Reinger, Weissnat and Strosin","food_dining",58.33,"M","Helm","CA",123,"Early years teacher","2/7/1973","8c335b5f74ef9cbc583b0ef1e107fe89",0
"1/20/2020 15:02","fraud_Lemke and Sons","travel",8.26,"F","Matthews","MO",1019,"Aeronautical engineer","1/26/1979","4bd78d6878a5f7778279bd14673db207",0
"4/26/2019 11:40","fraud_Ortiz Group","grocery_net",61.9,"M","Lamberton","MN",1507,"Land/geomatics surveyor","10/12/1993","bbc855b7341db8c6242334f07ebecb4d",0
"7/11/2019 22:51","fraud_Bins-Tillman","entertainment",135.27,"F","Scotia","SC",302,"Magazine features editor","5/4/1973","5cc87ff31cb70193216eb3732f068b4c",0
"3/6/2020 8:17","fraud_Mohr-Bayer","shopping_net",91.24,"M","Carroll","NE",566,"Metallurgist","1/26/1975","c20b045f733e25f623a258ae47d7b046",0
"8/7/2019 6:18","fraud_Bernier, Streich and Jewess","grocery_net",67.93,"F","Orangeburg","NY",5950,"Records manager","7/2/1971","4cbb18046e3d0f75a4b71289983b17d8",0
"2/18/2019 23:33","fraud_Denesik and Sons","shopping_pos",2.15,"M","Methuen","MA",47249,"Market researcher","11/22/1980","7ea7189ed02c465e2631448e80af0bc3",0
"11/4/2019 7:05","fraud_Jast Ltd","shopping_net",1.27,"F","Cisco","IL",478,"Landscape architect","1/13/1960","df0c61be8789a3bb4beaedd685072139",0
"5/12/2019 23:17","fraud_Mosciski, Ziemann and Farrell","shopping_net",6.1,"M","Quanah","TX",3202,"Librarian, public","3/18/1998","35d36c6adf81b75c227da943b91a67fe",0
"6/1/2019 0:22","fraud_Cremin, Hamill and Reichel","misc_pos",28.5,"M","Saxon","WI",795,"Television/film/video producer","4/15/1986","98afc3aa311921006b10dbfdf8701547",0
"9/4/2019 18:06","fraud_Cormier LLC","health_fitness",247.48,"F","Saint Paul","MN",753116,"Fisheries officer","8/6/1971","77e68b26eb5c2968a37c9c6e450c7310",0
"8/8/2019 19:09","fraud_Brown Inc","kids_pets",40.47,"M","Saxon","WI",795,"Television/film/video producer","4/15/1986","9fc21238e74158f756792da0a8577959",0
"2/23/2019 0:08","fraud_Connelly, Reichert and Fritsch","gas_transport",61.95,"F","Avoca","IA",2036,"Engineering geologist","8/20/1971","0ae0dabfab71fc3fd638cc83c217ba8b",0
"8/24/2019 23:22","fraud_Goldner-Lemke","entertainment",38.07,"F","Tulsa","OK",413574,"Teacher, special educational needs","9/1/1971","200367b8363cd6d4ff72a23bfe31e16a",0
"7/29/2019 14:37","fraud_Morissette PLC","shopping_pos",7,"F","Bonfield","IL",1617,"Medical secretary","4/25/1990","e092ec01be7cf4568c8c8cfe4baf5abb",0
"11/10/2019 2:25","fraud_Ortiz Group","grocery_net",70.8,"F","Wilmington","NC",186140,"English as a second language teacher","2/8/1983","a87eb475ae33b7a595ffd32b85c25d13",0
"6/10/2019 3:11","fraud_Raynor, Feest and Miller","gas_transport",52.99,"M","Tyaskin","MD",470,"Music tutor","4/7/1965","ad6a99157e3a68edce9a47dcf1092887",0
"1/26/2020 19:41","fraud_Heathcote, Yost and Kertzmann","shopping_net",7.52,"F","Baroda","MI",3104,"Horticulturist, commercial","3/29/1981","b7325c08830ad347312fe59648ac7567",0
"10/22/2019 10:00","fraud_Harris Inc","gas_transport",60.87,"F","Sutherland","NE",1789,"Insurance broker","2/11/1982","b034fc71caed4ece41a17e2a4f634eb6",0
"7/5/2019 9:23","fraud_Hills-Olson","grocery_net",36.54,"F","Haynes","AR",222,"Programmer, applications","5/19/1963","eee4fb75869f0ab4561aa64ed76f778d",0
"12/16/2019 21:51","fraud_Auer-West","shopping_net",2.47,"F","Roosevelt","OK",551,"Amenity horticulturist","9/27/1970","1ed360646da14b5f3d898396b3b373b1",0
"6/1/2019 6:10","fraud_Willms, Kris and Bergnaum","shopping_pos",1.13,"F","Garrattsville","NY",165,"Naval architect","9/20/1945","652aba654f9d737b5d51bd2a8023e666",0
"6/10/2019 5:56","fraud_Koepp-Parker","grocery_pos",50.13,"M","Elizabeth","NJ",124967,"Operational researcher","12/21/1980","87196420ea3c205b980427a1d6975a2b",0
"10/6/2019 5:50","fraud_Block Group","misc_pos",1.15,"F","Loving","NM",1925,"Educational psychologist","5/26/1952","2f97ede5870560abfc6a13717835fc95",0
"2/4/2019 22:14","fraud_Bahringer, Osinski and Block","food_dining",111.06,"F","North Wilkesboro","NC",21134,"Dispensing optician","3/6/1984","633065ec0c5adcbf01edee9ab2d4d3c1",0
"6/10/2019 11:42","fraud_Harber Inc","gas_transport",59.89,"F","Metairie","LA",137067,"Advertising account planner","12/4/1951","753075f1c3b159fff4e15568eb390522",0
"8/20/2019 7:37","fraud_Pacocha-O'Reilly","grocery_pos",107.71,"M","Wales","AK",145,"Administrator, education","11/9/1939","5e4edd512e34d41af767d76fae8636a2",0
"12/2/2019 0:37","fraud_Daugherty, Pouros and Beahan","shopping_pos",4,"F","Minneapolis","MN",1022298,"Analytical chemist","10/28/1967","567095d84866e9f10ec6624713af127b",0
"7/1/2019 0:23","fraud_Cummerata-Jones","gas_transport",58.53,"F","Cleveland","TX",34153,"Building surveyor","9/11/1995","533ff8d7a9b2d0637eaf44aa7387ac0c",0
"1/13/2019 4:10","fraud_Zboncak LLC","food_dining",69.71,"F","Albuquerque","NM",641349,"Charity officer","1/24/1967","2f91ad6d9da112a2705a1e1d607394e2",0
"1/21/2019 19:10","fraud_Morissette PLC","shopping_pos",2.6,"M","Fayetteville","NC",238602,"Scientist, research (maths)","5/14/1993","d2e1c77658a3f2d5586261192147917f",0
"5/12/2019 22:59","fraud_Medhurst, Labadie and Gottlieb","travel",3.7,"F","Ridgeland","MS",24645,"Scientist, clinical (histocompatibility and immunogenetics)","5/29/1966","be5aabd64866f5ba8d34cf13cd988ff0",0
"3/3/2020 18:35","fraud_Kihn, Abernathy and Douglas","shopping_net",2.16,"F","Baton Rouge","LA",378909,"Designer, furniture","2/22/1977","a7d5487614aa9e64fd056cb334ae07e5",0
"12/15/2019 13:21","fraud_Bahringer-Streich","food_dining",9.32,"F","Uledi","PA",328,"Tree surgeon","7/25/1983","d29fce467d08d9586051d879bc0ba86f",0
"8/4/2019 0:11","fraud_Reilly, Heaney and Cole","gas_transport",57.27,"F","Thrall","TX",1766,"Press sub","1/2/1976","d581997a78347fba9f48372bff8ec43c",0
"9/12/2019 9:44","fraud_Kuvalis Ltd","gas_transport",53.31,"F","Norwich","OH",1443,"Research scientist (medical)","3/4/1962","dc6089594aa003f68c3709e9d928537e",0
"12/27/2019 7:07","fraud_Heathcote, Yost and Kertzmann","shopping_net",4.51,"F","Port Gibson","NY",207,"Database administrator","9/27/1962","bd9c387411e8f1664f64a5d5c4b55461",0
"4/1/2019 5:57","fraud_Murray Ltd","grocery_net",38.15,"F","Issaquah","WA",50489,"Osteopath","2/29/1984","880d697bbd2effc2e86fdbe9f43d3a5d",0
"11/4/2019 2:41","fraud_Rippin, Kub and Mann","misc_net",196.93,"F","Dublin","PA",2158,"Transport planner","6/19/1961","74a36a76ab9bd15fd56d666438ea406a",0
"2/2/2019 17:18","fraud_Mosciski Group","travel",9.75,"M","Johns Island","SC",20478,"Materials engineer","6/4/1997","4bbf3deac87beb5ef9753416cc4a035c",0
"4/26/2019 0:40","fraud_Schoen, Kuphal and Nitzsche","grocery_pos",52.71,"M","Monmouth Beach","NJ",3279,"Health promotion specialist","10/5/1978","1c3db53b122a83b0e0b1656626063f43",0
"2/5/2019 5:51","fraud_Raynor, Reinger and Hagenes","gas_transport",60.22,"M","Tryon","OK",1165,"Psychotherapist, child","11/11/1944","252d66753f3643e92cac8412533e440e",0
"2/18/2019 17:05","fraud_Kutch, Steuber and Gerhold","food_dining",61.61,"F","Clarks Mills","PA",606,"Energy manager","9/22/1997","9d9e7c7b6e2226101a5a952e1f63a3b7",0
"3/8/2019 22:27","fraud_Altenwerth-Kilback","home",13.14,"M","Norman","AR",1383,"Magazine features editor","8/8/1966","47ab65481723a789799ff054c56fa449",0
"7/4/2019 20:53","fraud_Erdman-Schaden","personal_care",25.45,"F","Kilgore","TX",24536,"Multimedia programmer","10/14/1983","27dfe0129733a96fae3dd5cd5d04ba3a",0
"9/16/2019 1:56","fraud_Denesik and Sons","shopping_pos",7.54,"M","Luray","MO",519,"Town planner","2/13/1966","f22e07b2939dc880ad04fa21e36af3fe",0
"12/25/2019 23:07","fraud_Mohr Inc","shopping_pos",3.66,"M","Ruckersville","VA",9815,"Designer, ceramics/pottery","7/7/1975","50b0190805eabc8a923345f79d05112f",0
"1/22/2020 23:09","fraud_Bogisich-Weimann","kids_pets",20.78,"M","Great Mills","MD",5927,"Art therapist","6/9/1973","e7ad637704ad1997419245e05abb8cc5",0
"9/28/2019 9:37","fraud_Hackett-Lueilwitz","grocery_pos",106.64,"F","Orient","WA",149,"Special educational needs teacher","6/21/1978","e401944f27a6fcd4dab7740f55c0aaf3",0
"5/20/2019 4:41","fraud_McGlynn-Heathcote","misc_net",5.87,"F","Phenix City","AL",59744,"Chemical engineer","2/7/1984","4452b9f4934149c3625bd32493c1644d",0
"10/18/2019 3:08","fraud_Heller-Langosh","gas_transport",49.78,"F","Meredith","CO",61,"Public relations account executive","11/4/1939","4a16b051bc09ee6ec367bc81aa559831",0
